programme;course_tag;report_id
MPTSE;BOM060;1557
MPTSE;BOM060;5043
MPTSE;BOM060;7496
MPTSE;BOM060;9857
MPTSE;BOM060;11959
MPTSE;ENM015;2742
MPTSE;ENM015;4443
MPTSE;ENM015;7162
MPTSE;ENM015;9159
MPTSE;ENM015;11232
MPTSE;ENM021;3328
MPTSE;ENM021;5630
MPTSE;ENM021;8066
MPTSE;ENM021;10311
MPTSE;ENM021;12705
MPTSE;ENM035;4433
MPTSE;ENM035;7154
MPTSE;ENM035;9359
MPTSE;ENM090;2360
MPTSE;ENM090;4019
MPTSE;ENM090;6221
MPTSE;ENM090;8647
MPTSE;ENM095;1894
MPTSE;ENM095;4093
MPTSE;ENM095;6449
MPTSE;ENM095;8855
MPTSE;ENM095;10895
MPTSE;ENM130;2808
MPTSE;ENM130;4495
MPTSE;ENM130;7283
MPTSE;ENM130;9099
MPTSE;ENM130;11598
MPTSE;ENM145;4939
MPTSE;ENM145;7040
MPTSE;ENM145;8993
MPTSE;ENM145;11001
MPTSE;FFR160;1914
MPTSE;FFR160;4111
MPTSE;FFR160;6465
MPTSE;FFR160;8475
MPTSE;FFR160;11033
MPTSE;FFR166;2074
MPTSE;FFR166;3795
MPTSE;FFR166;6303
MPTSE;FFR166;8705
MPTSE;FFR166;10749
MPTSE;FFR170;2048
MPTSE;FFR170;3771
MPTSE;FFR170;6277
MPTSE;FFR170;8685
MPTSE;FFR170;10739
MPTSE;TME265;4131
MPTSE;TME265;6335
MPTSE;TME265;8729
MPTSE;TME265;10967
MPTSE;TME265;2384
MPTSE;UNA016;1735
MPTSE;UNA016;5375
MPTSE;UNA016;7540
MPTSE;UNA016;9605
MPTSE;UNA016;12191
MPTSE;VMI010;2780
MPTSE;VMI010;4471
MPTSE;VMI010;6666
MPTSE;VMI010;9081
MPTSE;VMI010;11724
MPTSE;VMI035;1613
MPTSE;VMI035;5113
MPTSE;VMI035;7684
MPTSE;VMI035;9889
MPTSE;VMI035;11985
MPTSE;VTM081;3280
MPTSE;VTM081;5594
MPTSE;VTM081;8032
MPTSE;VTM081;10395
MPTSE;VTM081;12519
MPTSE;ACE155;18103
MPTSE;ACE155;20775
MPTSE;BOM060;14215
MPTSE;ENM015;13497
MPTSE;ENM015;16023
MPTSE;ENM015;18137
MPTSE;ENM015;20825
MPTSE;ENM021;15139
MPTSE;ENM021;17393
MPTSE;ENM021;19508
MPTSE;ENM021;22067
MPTSE;ENM035;13593
MPTSE;ENM035;15819
MPTSE;ENM035;18537
MPTSE;ENM035;20345
MPTSE;ENM095;13374
MPTSE;ENM095;15656
MPTSE;ENM095;17805
MPTSE;ENM096;20272
MPTSE;ENM096;22646
MPTSE;ENM130;13741
MPTSE;ENM130;16013
MPTSE;ENM130;18337
MPTSE;ENM130;20485
MPTSE;FFR160;13292
MPTSE;FFR160;15592
MPTSE;FFR160;17469
MPTSE;FFR160;20042
MPTSE;FFR160;22312
MPTSE;FFR166;13004
MPTSE;FFR166;15480
MPTSE;FFR166;17823
MPTSE;FFR166;20188
MPTSE;FFR166;22214
MPTSE;FFR170;13304
MPTSE;FFR170;15596
MPTSE;FFR170;17845
MPTSE;FFR170;19800
MPTSE;FFR170;22578
MPTSE;SEE025;13418
MPTSE;SEE040;15740
MPTSE;SEE040;17537
MPTSE;SEE040;20134
MPTSE;SEE040;22624
MPTSE;SEE050;18655
MPTSE;TEK675;16858
MPTSE;TEK675;18779
MPTSE;TEK675;21387
MPTSE;TEK680;15718
MPTSE;TEK680;17509
MPTSE;TEK680;20080
MPTSE;TEK680;22356
MPTSE;TME265;13290
MPTSE;TME265;15590
MPTSE;TME265;17767
MPTSE;UNA016;14361
MPTSE;UNA016;16528
MPTSE;UNA016;18881
MPTSE;UNA016;21121
MPTSE;VMI010;13847
MPTSE;VMI010;15855
MPTSE;VMI010;18161
MPTSE;VMI010;20863
MPTSE;VMI035;14229
MPTSE;VMI035;16750
MPTSE;VMI035;18939
MPTSE;VMI035;21229
MPTSE;VTM081;15025
MPTSE;VTM081;17113
MPTSE;VTM081;19364
MPTSE;VTM081;21689
