programme;course_tag;report_id
MPISC;IBB135;2728
MPISC;IBB135;3216
MPISC;IBB135;4429
MPISC;IBB135;5832
MPISC;IBB135;7150
MPISC;IBB135;8272
MPISC;IBB136;9563
MPISC;IBB136;10587
MPISC;IBB136;11582
MPISC;IBB136;12583
MPISC;IPE061;2766
MPISC;IPE061;3510
MPISC;IPE062;4915
MPISC;IPE062;6000
MPISC;KAA102;3440
MPISC;KAA102;5700
MPISC;KAA102;7886
MPISC;KAA102;10257
MPISC;KAA102;12839
MPISC;KBT110;1645
MPISC;KBT110;5141
MPISC;KBT110;7338
MPISC;KBT110;9709
MPISC;KBT110;12265
MPISC;KBT115;1974
MPISC;KBT115;3753
MPISC;KBT115;6263
MPISC;KBT115;8675
MPISC;KBT115;10731
MPISC;KBT120;2278
MPISC;KBT120;4153
MPISC;KBT120;6357
MPISC;KBT120;8391
MPISC;KBT120;10973
MPISC;KBT130;2064
MPISC;KBT130;3787
MPISC;KBT130;6295
MPISC;KBT130;8697
MPISC;KBT130;10745
MPISC;KBT135;2708
MPISC;KBT135;4369
MPISC;KBT135;6940
MPISC;KBT135;9491
MPISC;KBT135;11520
MPISC;KBT140;2066
MPISC;KBT140;3789
MPISC;KBT140;6297
MPISC;KBT140;8699
MPISC;KBT140;10915
MPISC;KBT145;1523
MPISC;KBT145;5015
MPISC;KBT145;7482
MPISC;KBT145;9985
MPISC;KBT145;12107
MPISC;KBT156;2116
MPISC;KBT156;3973
MPISC;KBT156;6179
MPISC;KBT156;8567
MPISC;KBT156;10657
MPISC;KBT192;2408
MPISC;KBT192;4141
MPISC;KBT192;6345
MPISC;KBT192;8859
MPISC;KBT192;10899
MPISC;KBT245;5425
MPISC;KBT245;7568
MPISC;KBT245;9631
MPISC;KBT245;11005
MPISC;KKM022;1972
MPISC;KKM022;3751
MPISC;KKM022;11161
MPISC;KKM067;3500
MPISC;KKM067;8112
MPISC;KKM067;10561
MPISC;KKR072;5840
MPISC;KKR072;8280
MPISC;KKR072;3224
MPISC;KKR073;10585
MPISC;KKR073;12617
MPISC;KLI011;2072
MPISC;KLI011;3793
MPISC;KLI011;6301
MPISC;KLI011;8703
MPISC;KLI011;11352
MPISC;KLI031;2650
MPISC;KLI031;4359
MPISC;KLI031;6928
MPISC;KLI031;9323
MPISC;KLI031;11354
MPISC;KSK041;6922
MPISC;KSK041;9315
MPISC;KSK041;11350
MPISC;KTK011;3156
MPISC;KTK011;5890
MPISC;KTK012;8316
MPISC;KTK012;10467
MPISC;KTK012;12575
MPISC;KVM013;2888
MPISC;KVM013;4855
MPISC;KVM013;7048
MPISC;KVM013;9001
MPISC;KVM013;11596
MPISC;KVM071;1461
MPISC;KVM071;5267
MPISC;KVM071;7710
MPISC;KVM071;9903
MPISC;KVM071;11991
MPISC;MEN031;3516
MPISC;MEN031;5954
MPISC;MEN031;8124
MPISC;MEN031;10151
MPISC;MEN031;12765
MPISC;MEN115;3220
MPISC;MEN115;5836
MPISC;MEN115;8276
MPISC;MEN115;10457
MPISC;MEN115;12563
MPISC;PPU230;7762
MPISC;PPU230;9945
MPISC;PPU231;12309
MPISC;SSY285;2570
MPISC;SSY285;4727
MPISC;SSY285;6624
MPISC;SSY285;9053
MPISC;SSY285;11702
MPISC;TEK350;1769
MPISC;TEK350;5403
MPISC;TEK350;7580
MPISC;TEK350;9639
MPISC;TEK350;12209
MPISC;TME160;2856
MPISC;TME160;4535
MPISC;TME160;6716
MPISC;TME160;9135
MPISC;TME160;11214
MPISC;TME280;8875
MPISC;TME280;10801
MPISC;BBT050;20244
MPISC;BBT050;22460
MPISC;ENM015;20825
MPISC;FFR170;19800
MPISC;FFR170;22578
MPISC;IBB136;13725
MPISC;IBB136;14837
