programme;course_tag;report_id
MPENM;FFR105;362
MPENM;FFR105;3861
MPENM;FFR105;6507
MPENM;FFR105;8739
MPENM;FFR105;10767
MPENM;FFR110;818
MPENM;FFR110;4705
MPENM;FFR110;7720
MPENM;FFR110;9907
MPENM;FFR110;11993
MPENM;FFR135;1994
MPENM;FFR135;4053
MPENM;FFR135;6543
MPENM;FFR135;8769
MPENM;FFR135;10785
MPENM;KBB032;2268
MPENM;KBB032;3951
MPENM;KBB032;6159
MPENM;KBB032;8553
MPENM;KBB032;11083
MPENM;KMG060;2512
MPENM;KMG060;4291
MPENM;KMG060;6866
MPENM;KMG060;9273
MPENM;KMG060;10727
MPENM;MTF072;2506
MPENM;MTF072;4287
MPENM;MTF072;6862
MPENM;MTF072;9269
MPENM;MTF072;11588
MPENM;MTF270;3588
MPENM;MTF270;5796
MPENM;MTF270;7966
MPENM;MTF270;10353
MPENM;MTF270;12487
MPENM;MVE080;2424
MPENM;MVE080;4745
MPENM;MVE095;3496
MPENM;MVE095;5944
MPENM;MVE095;8108
MPENM;MVE095;9527
MPENM;MVE095;11548
MPENM;MVE140;2774
MPENM;MVE140;4465
MPENM;MVE140;6662
MPENM;MVE140;9461
MPENM;MVE140;11562
MPENM;MVE150;1451
MPENM;MVE150;4999
MPENM;MVE150;7468
MPENM;MVE150;9837
MPENM;MVE150;11943
MPENM;MVE155;1727
MPENM;MVE155;5365
MPENM;MVE155;7532
MPENM;MVE155;9751
MPENM;MVE155;11887
MPENM;MVE161;3640
MPENM;MVE161;5650
MPENM;MVE162;8346
MPENM;MVE162;10333
MPENM;MVE162;12473
MPENM;MVE165;3150
MPENM;MVE165;5884
MPENM;MVE165;7818
MPENM;MVE165;10211
MPENM;MVE165;12797
MPENM;MVE170;1244
MPENM;MVE170;4631
MPENM;MVE170;6804
MPENM;MVE170;9231
MPENM;MVE170;11294
MPENM;MVE185;390
MPENM;MVE186;4229
MPENM;MVE186;6437
MPENM;MVE186;8847
MPENM;MVE187;11125
MPENM;MVE190;876
MPENM;MVE190;4311
MPENM;MVE190;6886
MPENM;MVE190;9287
MPENM;MVE190;11332
MPENM;MVE200;11913
MPENM;MVE210;5792
MPENM;MVE210;9795
MPENM;MVE220;1194
MPENM;MVE220;4585
MPENM;MVE220;6758
MPENM;MVE220;10297
MPENM;MVE220;12449
MPENM;MVE325;1405
MPENM;MVE326;7746
MPENM;MVE326;12083
MPENM;MVE330;3136
MPENM;MVE330;7816
MPENM;MVE330;12791
MPENM;MVE360;1495
MPENM;MVE360;5295
MPENM;MVE360;7314
MPENM;MVE360;9689
MPENM;MVE385;6670
MPENM;MVE385;9085
MPENM;MVE385;11728
MPENM;MVE385;1062
MPENM;MVE385;4477
MPENM;MVE440;7826
MPENM;MVE440;10301
MPENM;MVE440;12747
MPENM;MVE510;11766
MPENM;SJO955;11794
MPENM;SSY200;1617
MPENM;SSY200;5117
