name;ans_freq;report_id
IBB135 Project management 2013/2014 LP2-LP2;32 (41,56%);2728
IBB135 Project management 2013/2014 LP4-LP4;39 (52,70%);3216
IBB135 Project management 2014/2015 LP2-LP2;58 (66,67%);4429
IBB135 Project management 2014/2015 LP4-LP4;22 (36,67%);5832
IBB135 Project management 2015/2016 LP2-LP2;26 (30,95%);7150
IBB135 Project management 2015/2016 LP4-LP4;35 (40,70%);8272
IBB136 Project management 2016/2017 LP2-LP2;24 (25,81%);9563
IBB136 Project management 2016/2017 LP4-LP4;18 (23,38%);10587
IBB136 Project management 2017/2018 LP2-LP2;21 (36,21%);11582
IBB136 Project management 2017/2018 LP4-LP4;20 (23,81%);12583
IBS092 Decision support systems in industrial management 2013/2014 LP4-LP4;6 (85,71%);3574
IEK312 Quality management 2013/2014 LP1-LP1;11 (25,00%);2016
IEK312 Quality management 2013/2014 LP3-LP3;36 (37,89%);1741
IEK312 Quality management 2014/2015 LP1-LP1;15 (45,45%);4071
IEK312 Quality management 2014/2015 LP3-LP3;30 (35,29%);5381
IEK312 Quality management 2015/2016 LP1-LP1;38 (56,72%);6081
IEK312 Quality management 2015/2016 LP3-LP3;32 (41,03%);7544
IEK312 Quality management 2016/2017 LP1-LP1;41 (41,00%);8507
IEK312 Quality management 2016/2017 LP3-LP3;29 (43,94%);9609
IEK312 Quality management 2017/2018 LP1-LP1;31 (46,97%);11053
IEK312 Quality management 2017/2018 LP3-LP3;30 (37,97%);12195
IPE061 Risk management and safety 2013/2014 LP2-LP2;17 (30,91%);2766
IPE061 Risk management and safety 2013/2014 LP4-LP4;24 (40,68%);3510
IPE062 Risk management and safety 2014/2015 LP2-LP2;24 (40,68%);4915
IPE062 Risk management and safety 2014/2015 LP4-LP4;12 (32,43%);6000
ISM030 Service contract management 2013/2014 LP4-LP4;18 (40,00%);3210
ISM030 Service contract management 2014/2015 LP4-LP4;8 (20,51%);5530
ISM030 Service contract management 2015/2016 LP4-LP4;11 (30,56%);8016
ISM030 Service contract management 2016/2017 LP4-LP4;9 (30,00%);10513
ITR361 Environmental aspects on logistics and transportation 2013/2014 LP4-LP4;32 (59,26%);3512
ITR362 Sustainable logistics 2014/2015 LP4-LP4;17 (37,78%);6022
ITR362 Sustainable logistics 2015/2016 LP4-LP4;30 (58,82%);8132
ITR362 Sustainable logistics 2016/2017 LP4-LP4;7 (63,64%);10161
ITR362 Sustainable logistics 2017/2018 LP4-LP4;10 (40,00%);12771
ITR585 Management of physical distribution 2013/2014 LP3-LP3;26 (50,00%);1459
ITR585 Management of physical distribution 2014/2015 LP3-LP3;18 (32,73%);5265
ITR585 Management of physical distribution 2015/2016 LP3-LP3;15 (25,42%);7708
ITR585 Management of physical distribution 2016/2017 LP3-LP3;16 (38,10%);9901
ITR585 Management of physical distribution 2017/2018 LP3-LP3;14 (41,18%);11989
SJO837 Risk and safety management 2016/2017 LP4-LP4;11 (57,89%);10167
SJO837 Risk and safety management 2017/2018 LP4-LP4;18 (51,43%);12863
SJO840 Shipping contracts and finance 2016/2017 LP4-LP4;6 (46,15%);10469
SJO841 Shipping contracts and financing 2017/2018 LP4-LP4;8 (50,00%);12903
TEK030 Organizational behavior 2013/2014 LP4-LP4;19 (54,29%);3320
TEK030 Organizational behavior 2014/2015 LP4-LP4;11 (35,48%);5622
TEK030 Organizational behavior 2015/2016 LP4-LP4;11 (32,35%);8058
TEK030 Organizational behavior 2016/2017 LP4-LP4;11 (37,93%);10411
TEK116 Customer Relationships 2013/2014 LP4-LP4;36 (55,38%);3214
TEK116 Customer Relationships 2014/2015 LP4-LP4;18 (34,62%);5830
TEK116 Customer relationships 2015/2016 LP4-LP4;28 (43,75%);8270
TEK117 Customer relationships 2016/2017 LP4-LP4;13 (28,89%);10583
TEK117 Customer relationships 2017/2018 LP4-LP4;15 (28,30%);12591
TEK122 Freight transport systems 2013/2014 LP2-LP2;38 (62,30%);2498
TEK122 Freight transport systems 2014/2015 LP2-LP2;26 (50,00%);4279
TEK122 Freight transport systems 2015/2016 LP2-LP2;31 (45,59%);6854
TEK122 Freight transport systems 2016/2017 LP2-LP2;21 (38,18%);8945
TEK122 Freight transport systems 2017/2018 LP2-LP2;29 (45,31%);11318
TEK211 Brand management 2014/2015 LP3-LP3;25 (37,88%);5255
TEK211 Brand management 2015/2016 LP3-LP3;26 (48,15%);7698
TEK211 Brand management 2016/2017 LP3-LP3;43 (70,49%);9923
TEK211 Brand management 2017/2018 LP3-LP3;36 (62,07%);12003
TEK216 Idea evaluation 2013/2014 LP3-LP3;29 (50,00%);1713
TEK216 Idea evaluation 2014/2015 LP3-LP3;17 (27,87%);5193
TEK216 Idea evaluation 2015/2016 LP3-LP3;22 (41,51%);7378
TEK216 Idea evaluation 2016/2017 LP3-LP3;31 (48,44%);9739
TEK216 Idea evaluation 2017/2018 LP3-LP3;20 (40,00%);12141
TEK230 Lean production 2016/2017 LP1-LP1;65 (79,27%);8372
TEK231 Lean management 2017/2018 LP1-LP1;53 (69,74%);10639
TEK236 Social entrepreneurship 2013/2014 LP4-LP4;13 (37,14%);3318
TEK236 Social entrepreneurship 2014/2015 LP4-LP4;19 (34,55%);5620
TEK236 Social entrepreneurship 2015/2016 LP4-LP4;19 (22,89%);8056
TEK237 Social innovation and social entrepreneurship 2016/2017 LP4-LP4;27 (40,91%);10609
TEK237 Social innovation and social entrepreneurship 2017/2018 LP4-LP4;20 (33,33%);12739
TEK275 Projects in supply chain management 2013/2014 LP1-LP2;5 (33,33%);2710
TEK275 Projects in supply chain management 2014/2015 LP1-LP2;9 (47,37%);4371
TEK275 Projects in supply chain management 2015/2016 LP1-LP2;4 (57,14%);6942
TEK275 Projects in supply chain management 2016/2017 LP1-LP2;7 (35,00%);9333
TEK275 Projects in supply chain management 2017/2018 LP1-LP2;3 (15,79%);11602
TEK306 Management of open innovation and network-based markets 2014/2015 LP4-LP4;13 (26,00%);5824
TEK306 Management of open innovation and network-based markets 2015/2016 LP4-LP4;18 (43,90%);8264
TEK306 Management of open innovation and network-based markets 2016/2017 LP4-LP4;10 (33,33%);10451
TEK306 Management of open innovation and network-based markets 2017/2018 LP4-LP4;15 (30,00%);12595
TEK315 Strategic management and economics of intellectual property 2013/2014 LP1-LP1;16 (42,11%);2314
TEK315 Strategic management and economics of intellectual property 2014/2015 LP1-LP1;12 (54,55%);4185
TEK315 Strategic management and economics of intellectual property 2015/2016 LP1-LP1;8 (57,14%);6423
TEK315 Strategic management and economics of intellectual property 2016/2017 LP1-LP1;15 (44,12%);8447
TEK315 Strategic management and economics of intellectual property 2017/2018 LP1-LP1;12 (34,29%);11017
TEK320 ICT economics and policy 2013/2014 LP2-LP2;16 (45,71%);2914
TEK320 ICT economics and policy 2014/2015 LP2-LP2;14 (46,67%);4581
TEK320 ICT economics and policy 2015/2016 LP2-LP2;20 (33,90%);6754
TEK320 ICT economics and policy 2016/2017 LP2-LP2;20 (20,83%);9157
TEK320 ICT economics and policy 2017/2018 LP2-LP2;23 (23,71%);11230
TEK350 Intellectual property and innovation strategies 2013/2014 LP3-LP3;15 (42,86%);1769
TEK350 Intellectual property and innovation strategies 2014/2015 LP3-LP3;12 (38,71%);5403
TEK350 Intellectual property and innovation strategies 2015/2016 LP3-LP3;16 (28,07%);7580
TEK350 Intellectual property and innovation strategies 2016/2017 LP3-LP3;14 (58,33%);9639
TEK350 Intellectual property and innovation strategies 2017/2018 LP3-LP3;15 (36,59%);12209
TEK360 International Business Relationships 2013/2014 LP4-LP4;16 (36,36%);3168
TEK360 International Business Relationships 2014/2015 LP4-LP4;11 (29,73%);5900
TEK360 International business relationships 2015/2016 LP4-LP4;19 (39,58%);8212
TEK360 International business relationships 2016/2017 LP4-LP4;20 (25,64%);10075
TEK360 International business relationships 2017/2018 LP4-LP4;11 (23,40%);12395
TEK405 Organizational behavior orientation 2013/2014 LP2-LP2;18 (31,03%);2578
TEK405 Organizational behavior orientation 2014/2015 LP2-LP2;24 (50,00%);4733
TEK405 Organizational behavior orientation 2015/2016 LP2-LP2;39 (35,78%);6630
TEK405 Organizational behavior orientation 2016/2017 LP2-LP2;26 (31,71%);9059
TEK410 Supply chain management 2013/2014 LP1-LP1;36 (58,06%);2092
TEK410 Supply chain management 2014/2015 LP1-LP1;35 (71,43%);3811
TEK410 Supply chain management 2015/2016 LP1-LP1;31 (45,59%);6315
TEK410 Supply chain management 2016/2017 LP1-LP1;27 (48,21%);8713
TEK415 Purchasing and supply management I 2013/2014 LP1-LP1;39 (58,21%);1952
TEK415 Purchasing and supply management I 2014/2015 LP1-LP1;39 (73,58%);3733
TEK415 Purchasing and supply management I 2015/2016 LP1-LP1;34 (50,75%);6251
TEK416 Purchasing and supply management 2016/2017 LP1-LP1;27 (49,09%);8897
TEK416 Purchasing and supply management 2017/2018 LP1-LP1;27 (40,30%);10939
TEK420 Operations planning and control 2013/2014 LP2-LP2;32 (53,33%);2760
TEK420 Operations planning and control 2014/2015 LP2-LP2;31 (58,49%);4457
TEK420 Operations planning and control 2015/2016 LP2-LP2;36 (54,55%);6652
TEK421 Operations planning and control 2016/2017 LP2-LP2;21 (41,18%);9557
TEK421 Operations planning and control 2017/2018 LP2-LP2;27 (42,86%);11430
TEK426 Term paper & seminars 2013/2014 LP1-LP2;29 (49,15%);3006
TEK426 Term paper & seminars 2014/2015 LP1-LP2;27 (51,92%);4661
TEK426 Term paper & seminars 2015/2016 LP1-LP2;32 (51,61%);6830
TEK435 Production flow management 2013/2014 LP3-LP3;34 (50,75%);1565
TEK435 Production flow management 2014/2015 LP3-LP3;23 (41,82%);5049
TEK435 Production flow management 2015/2016 LP3-LP3;18 (23,68%);7502
TEK436 Production flow management 2016/2017 LP3-LP3;20 (40,82%);9596
TEK436 Production flow management 2017/2018 LP3-LP3;23 (44,23%);12157
TEK460 Improving healthcare service design and delivery 2014/2015 LP1-LP1;9 (52,94%);4031
TEK465 Environmental aspects of transport 2013/2014 LP1-LP1;26 (45,61%);2394
TEK465 Sustainable transportation 2014/2015 LP1-LP1;53 (77,94%);4125
TEK465 Sustainable transportation 2015/2016 LP1-LP1;41 (44,09%);6473
TEK465 Sustainable transportation 2016/2017 LP1-LP1;36 (45,57%);8481
TEK465 Sustainable transportation 2017/2018 LP1-LP1;46 (51,11%);11037
TEK495 Design thinking and innovation 2014/2015 LP1-LP1;13 (72,22%);4239
TEK495 Design thinking and innovation 2015/2016 LP1-LP1;15 (53,57%);6377
TEK495 Design thinking and innovation 2016/2017 LP1-LP1;14 (46,67%);8407
TEK495 Design thinking and innovation 2017/2018 LP1-LP1;13 (44,83%);10985
TEK510 Organising for innovation 2017/2018 LP3-LP3;11 (50,00%);12113
TEK535 SCM seminars 1 2016/2017 LP1-LP2;17 (34,00%);9555
TEK535 SCM seminars 1 2017/2018 LP1-LP2;23 (38,98%);11426
TEK540 SCM seminars 2 2016/2017 LP3-LP4;13 (27,66%);10581
TEK540 SCM seminars 2 2017/2018 LP3-LP4;22 (39,29%);12581
TEK585 Supply chain management 2017/2018 LP1-LP1;27 (40,91%);11127
TEK590 Service management 2017/2018 LP4-LP4;5 (13,89%);12921
IBB136 Project management 2018/2019 LP2-LP2;28 (35,44%);13725
IBB136 Project management 2018/2019 LP4-LP4;23 (24,47%);14837
IBB136 Project management 2019/2020 LP2-LP2;17 (26,15%);15772
IBB136 Project management 2019/2020 LP4-LP4;26 (24,30%);16922
IBB137 Project management 2020/2021 LP2-LP2;26 (30,95%);18691
IBB137 Project management 2020/2021 LP4-LP4;25 (37,88%);19708
IBB137 Project management 2021/2022 LP2-LP2;16 (25,40%);20537
IBB137 Project management 2021/2022 LP4-LP4;23 (25,56%);21837
IEK312 Quality management 2018/2019 LP1-LP1;22 (33,85%);13212
IEK312 Quality management 2018/2019 LP3-LP3;21 (38,18%);14365
