programme;course_tag;report_id
MPHPC;DAT094;19972
MPHPC;DAT094;22454
MPHPC;DAT105;15416
MPHPC;DAT105;17527
MPHPC;DAT105;20110
MPHPC;DAT105;22374
MPHPC;DAT147;17583
MPHPC;DAT147;20200
MPHPC;DAT147;22256
MPHPC;DAT205;17391
MPHPC;DAT205;19284
MPHPC;DAT205;21971
MPHPC;DAT246;16003
MPHPC;DAT246;18587
MPHPC;DAT246;20084
MPHPC;DAT246;22534
MPHPC;DAT278;16393
MPHPC;DAT278;18073
MPHPC;DAT278;20729
MPHPC;DAT280;17119
MPHPC;DAT280;19604
MPHPC;DAT280;22031
MPHPC;DAT300;19754
MPHPC;DAT300;22542
MPHPC;DAT340;19676
MPHPC;DAT340;21459
MPHPC;DAT340;21667
MPHPC;DAT385;19912
MPHPC;DAT385;22400
MPHPC;DAT400;15724
MPHPC;DAT400;17531
MPHPC;DAT400;20128
MPHPC;DAT400;22602
MPHPC;DAT405;19159
MPHPC;DAT405;21247
MPHPC;DAT410;21363
MPHPC;DAT480;20941
MPHPC;EDA093;17463
MPHPC;EDA093;20030
MPHPC;EDA093;22532
MPHPC;EDA223;16828
MPHPC;EDA223;19023
MPHPC;EDA223;21083
MPHPC;EDA263;16552
MPHPC;EDA263;19061
MPHPC;EDA263;21165
MPHPC;EDA284;16800
MPHPC;EDA284;18775
MPHPC;EDA284;21367
MPHPC;EDA344;16622
MPHPC;EDA344;19133
MPHPC;EDA344;21461
MPHPC;EDA387;17803
MPHPC;EDA387;20020
MPHPC;EDA387;22300
MPHPC;EDA423;17407
MPHPC;EDA423;19268
MPHPC;EDA423;21933
MPHPC;EEN020;16187
MPHPC;EEN020;18375
MPHPC;EEN020;20513
MPHPC;EEN035;20108
MPHPC;EEN035;22372
MPHPC;ENM130;16013
MPHPC;ENM130;18337
MPHPC;ENM130;20485
MPHPC;FFR110;16822
MPHPC;FFR110;18875
MPHPC;FFR110;21115
MPHPC;FKA121;15839
MPHPC;FKA121;18313
MPHPC;FKA121;20431
MPHPC;FKA132;19878
MPHPC;FKA132;22376
MPHPC;MCC155;18681
MPHPC;MCC155;20593
MPHPC;RRY025;17897
MPHPC;RRY025;20092
MPHPC;RRY025;22360
MPHPC;SEE040;17537
MPHPC;SEE040;20134
MPHPC;SEE040;22624
MPHPC;TDA232;17417
MPHPC;TDA233;19161
MPHPC;TDA283;19264
MPHPC;TDA283;21929
MPHPC;TDA352;20877
MPHPC;TDA362;15867
MPHPC;TDA362;18465
MPHPC;TDA362;20657
MPHPC;TDA384;16736
MPHPC;TDA384;17765
MPHPC;TDA384;18733
MPHPC;TDA384;19984
MPHPC;TDA384;21297
MPHPC;TDA384;22488
MPHPC;TDA507;16015
MPHPC;TDA507;18545
MPHPC;TDA507;20377
MPHPC;TDA596;15933
MPHPC;TDA596;18039
MPHPC;TDA596;20699
MPHPC;TEK650;17951
MPHPC;TEK650;19936
MPHPC;TEK650;22432
MPHPC;TEK655;18675
MPHPC;TEK656;20963
MPHPC;TIF186;16241
MPHPC;TIN093;18717
MPHPC;TIN093;21022
MPHPC;TME285;16540
MPHPC;TME285;19053
MPHPC;TME286;21525
MPHPC;TME290;17277
MPHPC;TME290;19426
MPHPC;TME290;21791
