programme;course_tag;report_id
MPBME;ESS101;2160
MPBME;ESS101;3869
MPBME;ESS101;6515
MPBME;ESS101;8747
MPBME;ESS101;10773
MPBME;FKA116;730
MPBME;FKA116;4769
MPBME;FKA116;7092
MPBME;FKA116;9025
MPBME;FKA116;11674
MPBME;FTF225;3572
MPBME;FTF225;5786
MPBME;FTF225;7960
MPBME;FTF225;10347
MPBME;KLI011;2072
MPBME;KLI011;3793
MPBME;KLI011;6301
MPBME;KLI011;8703
MPBME;KLI011;11352
MPBME;KLI041;2266
MPBME;KLI041;3949
MPBME;KLI041;6157
MPBME;KLI041;8551
MPBME;KLI042;12871
MPBME;KPO045;1789
MPBME;KPO045;5215
MPBME;KPO045;7400
MPBME;KPO045;9783
MPBME;KPO045;11905
MPBME;KPO065;12273
MPBME;KPO065;1721
MPBME;KPO065;5201
MPBME;KPO065;7388
MPBME;KPO065;9723
MPBME;MCC020;7880
MPBME;MCC020;10253
MPBME;MCC020;12749
MPBME;MMF062;2614
MPBME;MMF062;4321
MPBME;MMF062;6898
MPBME;MMF062;9297
MPBME;MMF062;11338
MPBME;MVE155;1727
MPBME;MVE155;5365
MPBME;MVE155;7532
MPBME;MVE155;9751
MPBME;MVE155;11887
MPBME;RRY025;2188
MPBME;RRY025;3893
MPBME;RRY025;6101
MPBME;RRY025;8527
MPBME;RRY025;11071
MPBME;SSY080;2182
MPBME;SSY080;3887
MPBME;SSY080;6097
MPBME;SSY080;8523
MPBME;SSY080;11067
MPBME;SSY090;2942
MPBME;SSY091;4907
MPBME;SSY091;7030
MPBME;SSY091;8987
MPBME;SSY091;11644
MPBME;SSY095;1723
MPBME;SSY096;5429
MPBME;SSY096;7556
MPBME;SSY097;10043
MPBME;SSY097;12025
MPBME;SSY115;3274
MPBME;SSY115;6050
MPBME;SSY115;8028
MPBME;SSY115;10393
MPBME;SSY115;12517
MPBME;SSY121;2104
MPBME;SSY121;3961
MPBME;SSY121;6071
MPBME;SSY121;8377
MPBME;SSY121;10633
MPBME;SSY125;2778
MPBME;SSY125;4469
MPBME;SSY125;6664
MPBME;SSY125;9079
MPBME;SSY125;11722
MPBME;SSY130;2858
MPBME;SSY130;4825
MPBME;SSY130;6980
MPBME;SSY130;9521
MPBME;SSY130;11542
MPBME;SSY165;2038
MPBME;SSY165;3761
MPBME;SSY165;6271
MPBME;SSY165;8681
MPBME;SSY165;10825
MPBME;SSY180;2514
MPBME;SSY180;4293
MPBME;SSY180;6868
MPBME;SSY180;9275
MPBME;SSY180;11612
MPBME;SSY185;3410
MPBME;SSY186;5994
MPBME;SSY186;8148
MPBME;SSY186;10171
MPBME;SSY186;12775
MPBME;SSY190;3324
MPBME;SSY190;5626
MPBME;SSY190;8062
MPBME;SSY190;10415
MPBME;SSY190;12531
