programme;course_tag;report_id
MPQOM;IBB135;2728
MPQOM;IBB135;4429
MPQOM;IBB135;7150
MPQOM;IBB136;9563
MPQOM;IBB136;10587
MPQOM;IBB136;11582
MPQOM;IBB136;12583
MPQOM;IPE061;2766
MPQOM;IPE062;4915
MPQOM;MPP126;3334
MPQOM;MPP126;5636
MPQOM;MPP126;8070
MPQOM;MPP126;10421
MPQOM;MPP126;12537
MPQOM;TEK020;2932
MPQOM;TEK020;4597
MPQOM;TEK020;6776
MPQOM;TEK020;9207
MPQOM;TEK020;11272
MPQOM;TEK145;2204
MPQOM;TEK145;3909
MPQOM;TEK145;6115
MPQOM;TEK145;8539
MPQOM;TEK145;11077
MPQOM;TEK150;2438
MPQOM;TEK150;4757
MPQOM;TEK150;7080
MPQOM;TEK150;9017
MPQOM;TEK150;11670
MPQOM;TEK156;1501
MPQOM;TEK156;5299
MPQOM;TEK156;7318
MPQOM;TEK156;9693
MPQOM;TEK156;12039
MPQOM;TEK161;2700
MPQOM;TEK161;4571
MPQOM;TEK161;6742
MPQOM;TEK161;9117
MPQOM;TEK161;11550
MPQOM;TEK165;3390
MPQOM;TEK165;8082
MPQOM;TEK165;10427
MPQOM;TEK165;12541
MPQOM;TEK170;3138
MPQOM;TEK170;5870
MPQOM;TEK170;8190
MPQOM;TEK170;10551
MPQOM;TEK170;12691
MPQOM;TEK230;8372
MPQOM;TEK231;10639
MPQOM;TEK240;2612
MPQOM;TEK240;4319
MPQOM;TEK240;6840
MPQOM;TEK240;9161
MPQOM;TEK240;11238
MPQOM;TEK261;3034
MPQOM;TEK261;4379
MPQOM;TEK261;6948
MPQOM;TEK261;9335
MPQOM;TEK261;11362
MPQOM;TEK280;1966
MPQOM;TEK280;3745
MPQOM;TEK280;6259
MPQOM;TEK280;8671
MPQOM;TEK280;10961
MPQOM;TEK290;3388
MPQOM;TEK290;6032
MPQOM;TEK290;7832
MPQOM;TEK290;10117
MPQOM;TEK290;12393
MPQOM;TEK315;2314
MPQOM;TEK315;4185
MPQOM;TEK315;6423
MPQOM;TEK315;8447
MPQOM;TEK315;11017
MPQOM;TEK320;2914
MPQOM;TEK320;4581
MPQOM;TEK320;6754
MPQOM;TEK320;9157
MPQOM;TEK320;11230
MPQOM;TEK350;1769
MPQOM;TEK350;5403
MPQOM;TEK350;7580
MPQOM;TEK350;9639
MPQOM;TEK350;12209
MPQOM;TEK360;3168
MPQOM;TEK360;5900
MPQOM;TEK360;8212
MPQOM;TEK360;10075
MPQOM;TEK360;12395
MPQOM;TEK405;2578
MPQOM;TEK405;4733
