programme;course_tag;report_id
TKTEM;DAT036;2460
TKTEM;DAT037;4925
TKTEM;DAT037;7020
TKTEM;DAT037;8977
TKTEM;DAT037;11634
TKTEM;DAT325;7758
TKTEM;DAT326;9613
TKTEM;DAT326;12063
TKTEM;EEF031;2956
TKTEM;EEF031;4615
TKTEM;EEF031;6788
TKTEM;EEF031;9219
TKTEM;EEF031;11284
TKTEM;ESS017;132
TKTEM;ESS017;3715
TKTEM;ESS017;6237
TKTEM;ESS017;8659
TKTEM;ESS017;10717
TKTEM;FFM516;1837
TKTEM;FFM516;5247
TKTEM;FFM516;7434
TKTEM;FFM516;9815
TKTEM;FFM516;11927
TKTEM;FKA150;1561
TKTEM;FKA150;5047
TKTEM;FKA150;7500
TKTEM;IEK415;1757
TKTEM;IEK415;5393
TKTEM;IEK415;7574
TKTEM;KBB032;2268
TKTEM;KBB032;3951
TKTEM;KBB032;6159
TKTEM;KBB032;8553
TKTEM;KBB032;11083
TKTEM;KVM091;1926
TKTEM;KVM091;3717
TKTEM;KVM091;6239
TKTEM;KVM091;8661
TKTEM;KVM091;10719
TKTEM;MTF052;2166
TKTEM;MTF052;3875
TKTEM;MTF052;6519
TKTEM;MTF052;8751
TKTEM;MTF052;10646
TKTEM;MVE030;9825
TKTEM;MVE030;11935
TKTEM;MVE035;1633
TKTEM;MVE035;5131
TKTEM;MVE035;7330
TKTEM;MVE035;9705
TKTEM;MVE035;12263
TKTEM;MVE095;3496
TKTEM;MVE095;5944
TKTEM;MVE095;8108
TKTEM;MVE095;9527
TKTEM;MVE095;11548
TKTEM;MVE150;4999
TKTEM;MVE150;7468
TKTEM;MVE150;9837
TKTEM;MVE150;11943
TKTEM;MVE161;3640
TKTEM;MVE161;5650
TKTEM;MVE162;8346
TKTEM;MVE162;10333
TKTEM;MVE162;12473
TKTEM;MVE165;3150
TKTEM;MVE165;5884
TKTEM;MVE165;7818
TKTEM;MVE165;10211
TKTEM;MVE165;12797
TKTEM;MVE170;1244
TKTEM;MVE170;4631
TKTEM;MVE170;6804
TKTEM;MVE170;9231
TKTEM;MVE170;11294
TKTEM;MVE230;2142
TKTEM;MVE230;3851
TKTEM;MVE230;6497
TKTEM;MVE230;8771
TKTEM;MVE230;10787
TKTEM;MVE235;2482
TKTEM;MVE235;4265
TKTEM;MVE235;6844
TKTEM;MVE235;9257
TKTEM;MVE235;11312
TKTEM;MVE290;1437
TKTEM;MVE290;4989
TKTEM;MVE290;7460
TKTEM;MVE295;2304
TKTEM;MVE295;4175
TKTEM;MVE295;6413
TKTEM;MVE295;8439
TKTEM;MVE295;11011
TKTEM;MVE300;3376
TKTEM;MVE300;5758
TKTEM;MVE300;7938
TKTEM;MVE301;10159
TKTEM;MVE301;12859
TKTEM;MVE345;3386
TKTEM;MVE345;5660
TKTEM;MVE346;8340
TKTEM;MVE346;10299
TKTEM;MVE346;12451
TKTEM;MVE370;3518
TKTEM;MVE370;5486
TKTEM;MVE370;8126
TKTEM;MVE370;10153
TKTEM;MVE370;12767
TKTEM;MVE505;10023
TKTEM;MVE505;12015
TKTEM;SSY305;7510
TKTEM;SSY305;9863
TKTEM;SSY305;11965
TKTEM;SSY305;1833
TKTEM;SSY305;5059
TKTEM;SSY310;3616
TKTEM;SSY310;5820
TKTEM;SSY310;7988
TKTEM;SSY310;10511
TKTEM;SSY310;12655
TKTEM;TDA357;1643
TKTEM;TDA357;5139
TKTEM;TDA357;7336
TKTEM;TDA357;9955
TKTEM;TDA357;12085
TKTEM;TDA382;2228
TKTEM;TDA383;4225
TKTEM;TDA383;6439
TKTEM;TDA383;8849
TKTEM;TDA384;11155
TKTEM;TDA550;2960
TKTEM;TDA550;4619
TKTEM;TDA550;6792
TKTEM;TDA550;9175
TKTEM;TDA550;11248
TKTEM;TEK555;10021
TKTEM;TEK555;12155
TKTEM;TIN212;1839
TKTEM;TIN212;5361
TKTEM;TIN212;7524
TKTEM;TIN212;9582
TKTEM;TIN213;12327
TKTEM;TMA372;1453
TKTEM;TMA372;5001
TKTEM;TMA372;7470
TKTEM;TMA372;9839
TKTEM;TMA372;11945
TKTEM;TMA660;2354
TKTEM;TMA660;4015
TKTEM;TMA660;6217
TKTEM;TMA660;8643
TKTEM;TMA660;10713
TKTEM;TMA671;3192
TKTEM;TMA671;5572
TKTEM;TMA671;8004
TKTEM;TMA671;10379
TKTEM;TMA671;12505
TKTEM;TMA947;2716
TKTEM;TMA947;4417
TKTEM;TMA947;7140
TKTEM;TMA947;9049
TKTEM;TMA947;11698
TKTEM;TMA970;2100
TKTEM;TMA970;3957
TKTEM;TMA970;6165
TKTEM;TMA970;8559
TKTEM;TMA970;10957
TKTEM;TMA976;2682
TKTEM;TMA976;4553
TKTEM;TMA976;6730
TKTEM;TMA976;9109
TKTEM;TMA976;11198
TKTEM;TME060;3362
TKTEM;TME061;6026
TKTEM;TME061;
TKTEM;TME061;10185
TKTEM;TME061;12785
TKTEM;TMS150;2292
TKTEM;TMS150;4167
TKTEM;TMS150;6369
TKTEM;TMS150;8403
TKTEM;TMS150;10981
TKTEM;DAT037;13765
TKTEM;DAT038;16401
TKTEM;DAT038;18077
TKTEM;DAT038;20751
TKTEM;DAT326;14483
TKTEM;DAT326;16614
TKTEM;DAT326;19129
TKTEM;DAT326;21457
TKTEM;EEF031;13535
TKTEM;EEF031;16035
TKTEM;EEF031;18509
TKTEM;EEF031;20897
TKTEM;ESS017;12986
TKTEM;FFM516;14489
TKTEM;FFM516;16744
TKTEM;FFM516;18913
TKTEM;FFM516;21185
TKTEM;FTF140;15674
TKTEM;FTF140;17753
TKTEM;FTF140;19964
TKTEM;FTF141;22724
TKTEM;IMS090;22133
TKTEM;KBB032;13240
TKTEM;KBB032;15290
TKTEM;KBB032;17663
TKTEM;KBB032;19818
TKTEM;KBB032;22620
TKTEM;MTF052;13060
TKTEM;MTF053;17541
TKTEM;MTF053;20136
TKTEM;MTF053;22650
TKTEM;MTF053;15748
TKTEM;MVE030;14463
TKTEM;MVE030;16802
TKTEM;MVE030;18831
TKTEM;MVE030;21479
TKTEM;MVE036;14583
TKTEM;MVE095;14041
TKTEM;MVE095;16079
TKTEM;MVE095;18627
TKTEM;MVE095;20795
TKTEM;MVE150;14203
TKTEM;MVE150;16696
TKTEM;MVE150;18833
TKTEM;MVE150;21481
TKTEM;MVE162;14747
TKTEM;MVE162;17131
TKTEM;MVE162;19518
TKTEM;MVE162;22077
TKTEM;MVE165;14951
TKTEM;MVE165;17077
TKTEM;MVE165;19346
TKTEM;MVE165;22097
TKTEM;MVE230;13030
TKTEM;MVE230;15298
TKTEM;MVE230;17701
TKTEM;MVE235;13937
TKTEM;MVE235;16261
TKTEM;MVE235;18437
TKTEM;MVE235;20619
TKTEM;MVE295;13174
TKTEM;MVE295;15342
TKTEM;MVE295;17609
TKTEM;MVE295;20218
TKTEM;MVE295;22274
TKTEM;MVE302;15155
TKTEM;MVE302;17397
TKTEM;MVE302;19258
TKTEM;MVE302;21923
TKTEM;MVE346;15163
TKTEM;MVE346;17387
TKTEM;MVE346;19506
TKTEM;MVE347;22151
TKTEM;MVE370;14931
TKTEM;MVE370;17225
TKTEM;MVE370;19578
TKTEM;MVE370;21945
TKTEM;MVE505;14257
TKTEM;MVE505;16498
TKTEM;MVE505;18809
TKTEM;MVE505;21441
TKTEM;MVE505;22121
TKTEM;MVE550;14099
TKTEM;MVE550;16183
TKTEM;MVE550;18397
TKTEM;MVE550;20557
TKTEM;MVE600;16894
TKTEM;MVE600;18769
TKTEM;MVE600;21361
TKTEM;MVE665;20222
TKTEM;MVE665;22606
TKTEM;MVE670;20220
TKTEM;MVE670;22276
TKTEM;SEE125;22117
TKTEM;SSY051;15352
TKTEM;SSY051;17587
TKTEM;SSY051;20204
TKTEM;SSY051;22260
TKTEM;SSY305;14491
TKTEM;SSY305;16816
TKTEM;SSY305;18721
TKTEM;SSY305;21285
TKTEM;SSY310;14859
TKTEM;SSY310;17059
TKTEM;SSY310;19336
TKTEM;SSY310;22087
TKTEM;TDA357;14307
TKTEM;TDA357;16524
TKTEM;TDA357;18897
TKTEM;TDA357;21151
TKTEM;TDA384;14323
TKTEM;TDA384;16736
TKTEM;TDA384;18733
TKTEM;TDA384;21297
TKTEM;TDA550;13503
TKTEM;TDA550;16007
TKTEM;TDA550;18543
TKTEM;TDA550;20375
TKTEM;TEK555;14503
TKTEM;TEK556;16866
TKTEM;TEK557;19173
TKTEM;TEK557;21245
TKTEM;TIN213;14317
TKTEM;TIN213;16742
TKTEM;TIN214;19189
TKTEM;TMA372;14205
TKTEM;TMA372;16466
TKTEM;TMA372;19031
TKTEM;TMA372;21091
TKTEM;TMA660;12982
TKTEM;TMA660;15438
TKTEM;TMA660;17617
TKTEM;TMA671;14773
TKTEM;TMA672;17445
TKTEM;TMA672;19330
TKTEM;TMA947;13210
TKTEM;TMA947;15272
TKTEM;TMA947;17661
TKTEM;TMA947;19850
TKTEM;TMA947;22252
TKTEM;TMA970;13134
TKTEM;TMA970;15608
TKTEM;TMA970;17773
TKTEM;TMA970;19986
TKTEM;TMA970;22492
TKTEM;TMA976;14055
TKTEM;TMA976;16351
TKTEM;TMA976;18495
TKTEM;TMA976;20883
TKTEM;TME061;14943
TKTEM;TME061;19444
TKTEM;TMS150;13152
TKTEM;TMS150;15384
TKTEM;TMS150;17885
TKTEM;TMS150;19864
TKTEM;TMS150;22320
